epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,160.679,0.49637,0.38451,0.46779,0.9022,0.94256,0.9975,0.96832,0.86051,0.92524,0.97827,0.94548,0.67415,0.52833,1.05232,0.51044,0.87915,0.000998616,0.000998616,0.000998616
83,162.562,0.49363,0.4538,0.47262,0.89417,0.94258,1,0.97899,0.85166,0.92541,0.98077,0.96104,0.68699,0.54837,1.106,0.50855,0.89976,0.000990365,0.000990365,0.000990365
84,164.451,0.4598,0.57328,0.46858,0.8852,0.96247,0.90818,0.95439,0.81719,0.96247,0.90818,0.95469,0.67275,0.53158,1.24311,0.52866,0.88891,0.000982113,0.000982113,0.000982113
85,166.361,0.47056,0.60761,0.51802,0.88921,0.96203,0.95103,0.98093,0.83226,0.96203,0.95103,0.98093,0.66505,0.54103,1.23595,0.54601,0.90488,0.000973861,0.000973861,0.000973861
86,168.263,0.48513,0.46819,0.48551,0.91081,0.78513,0.90845,0.91586,0.74843,0.78513,0.90845,0.91586,0.56528,0.59707,1.32527,1.09674,0.93552,0.00096561,0.00096561,0.00096561
87,170.17,0.48924,0.54122,0.49781,0.87413,0.7494,0.8484,0.8674,0.72213,0.7494,0.8484,0.85616,0.52823,0.58141,1.3223,1.15533,0.91671,0.000957358,0.000957358,0.000957358
88,172.082,0.48395,0.42843,0.49056,0.86462,0.73321,0.98077,0.92012,0.78401,0.73321,0.98077,0.92012,0.6176,0.54623,1.07357,0.78787,0.90278,0.000949106,0.000949106,0.000949106
89,173.981,0.47884,0.39959,0.4895,0.88121,0.85255,0.87282,0.92406,0.79161,0.85255,0.87282,0.92406,0.61212,0.54691,1.04926,0.73196,0.89714,0.000940855,0.000940855,0.000940855
90,175.921,0.41899,0.42257,0.41178,0.85746,0.87837,0.86154,0.92348,0.78513,0.87837,0.86154,0.92348,0.62315,0.52545,0.99674,0.72322,0.88197,0.000932603,0.000932603,0.000932603
91,177.818,0.44716,0.39538,0.46235,0.85824,0.884,0.86154,0.91649,0.80259,0.884,0.86154,0.91649,0.61932,0.48794,1.00238,0.81657,0.86801,0.000924352,0.000924352,0.000924352
92,179.733,0.46408,0.39103,0.4692,0.87109,0.84692,0.91926,0.92039,0.80239,0.84692,0.91926,0.92066,0.60146,0.54018,0.99791,0.74218,0.89031,0.0009161,0.0009161,0.0009161
93,181.639,0.48532,0.39398,0.46472,0.88386,0.86147,0.89303,0.9225,0.79367,0.86147,0.89303,0.9225,0.60293,0.5654,1.0136,0.70047,0.91126,0.000907848,0.000907848,0.000907848
94,183.544,0.48356,0.41369,0.44491,0.87951,0.92154,0.86946,0.9437,0.80315,0.90389,0.85385,0.94021,0.62523,0.5589,1.02498,0.64938,0.89387,0.000899597,0.000899597,0.000899597
95,185.427,0.47789,0.39526,0.44104,0.8628,0.92016,0.85385,0.95628,0.79043,0.87682,0.78462,0.86711,0.60286,0.56951,1.10984,0.68909,0.89284,0.000891345,0.000891345,0.000891345
96,187.333,0.42772,0.36148,0.43882,0.85732,0.94576,0.95435,0.98486,0.83075,0.94576,0.95435,0.98486,0.6498,0.54003,1.14306,0.56386,0.88117,0.000883093,0.000883093,0.000883093
97,189.235,0.48708,0.38745,0.4509,0.88876,0.93519,0.98077,0.97322,0.85255,0.93519,0.98077,0.97322,0.63049,0.53027,1.08602,0.56701,0.88158,0.000874842,0.000874842,0.000874842
98,191.119,0.4329,0.36269,0.46141,0.85299,0.92751,0.98077,0.97037,0.86219,0.92751,0.98077,0.97037,0.65835,0.52214,1.02808,0.59678,0.88456,0.00086659,0.00086659,0.00086659
99,193.008,0.46502,0.34114,0.46084,0.88695,0.90879,0.96154,0.96839,0.85847,0.90879,0.96154,0.96839,0.6675,0.50646,1.03927,0.62925,0.87651,0.000858338,0.000858338,0.000858338
100,194.942,0.43481,0.38368,0.44163,0.86199,0.89264,0.96154,0.95757,0.8499,0.86454,0.93077,0.90911,0.66641,0.50751,1.22283,0.63119,0.86888,0.000850087,0.000850087,0.000850087
101,196.822,0.43743,0.34094,0.45125,0.8825,0.91674,0.95402,0.96581,0.86386,0.90538,0.91154,0.92233,0.68574,0.50092,1.25141,0.56573,0.8698,0.000841835,0.000841835,0.000841835
102,198.703,0.43431,0.33798,0.42555,0.86811,0.9151,0.96154,0.96201,0.85324,0.88197,0.93077,0.91809,0.67026,0.50391,1.18702,0.53827,0.87771,0.000833583,0.000833583,0.000833583
103,200.587,0.46646,0.33516,0.41881,0.85996,0.83553,0.92295,0.93196,0.81446,0.85104,0.94164,0.94374,0.65062,0.49411,1.14947,0.5787,0.88068,0.000825332,0.000825332,0.000825332
104,202.518,0.41551,0.28822,0.40563,0.85232,0.9049,0.84231,0.89968,0.76721,0.816,0.94267,0.90259,0.64237,0.50678,1.13431,0.59932,0.88737,0.00081708,0.00081708,0.00081708
105,204.386,0.42251,0.37451,0.41228,0.86478,0.90017,0.90119,0.94063,0.81069,0.90017,0.90119,0.94063,0.68824,0.5011,1.13332,0.53521,0.88441,0.000808828,0.000808828,0.000808828
106,206.292,0.44056,0.32598,0.3978,0.86494,0.90509,0.98903,0.97348,0.83512,0.88845,0.97005,0.96309,0.70424,0.49147,1.09586,0.49632,0.87929,0.000800577,0.000800577,0.000800577
107,208.195,0.42251,0.29797,0.39828,0.86807,0.94122,0.97998,0.98174,0.87367,0.92084,0.9646,0.97154,0.72342,0.49104,1.06292,0.4589,0.87787,0.000792325,0.000792325,0.000792325
108,210.081,0.41139,0.30575,0.38602,0.85127,0.91934,0.94266,0.97749,0.84759,0.91934,0.94266,0.97749,0.74089,0.45541,1.02479,0.45531,0.85095,0.000784073,0.000784073,0.000784073
109,211.983,0.42074,0.34965,0.39439,0.85776,0.9071,0.93554,0.98255,0.86169,0.9071,0.93554,0.98255,0.72767,0.46791,1.02596,0.47681,0.85119,0.000775822,0.000775822,0.000775822
110,213.864,0.40743,0.32512,0.38866,0.86303,0.95682,0.84585,0.95159,0.84314,0.95682,0.84585,0.95159,0.71248,0.47291,1.07028,0.50224,0.84813,0.00076757,0.00076757,0.00076757
111,215.757,0.39236,0.34407,0.40448,0.84712,0.95351,0.9,0.93448,0.84941,0.95351,0.9,0.93448,0.6882,0.46309,1.09391,0.50778,0.84439,0.000759318,0.000759318,0.000759318
112,217.667,0.41975,0.34208,0.42039,0.8605,0.96639,0.95,0.96113,0.87338,0.96639,0.95,0.96113,0.70898,0.45799,1.13139,0.45982,0.83988,0.000751067,0.000751067,0.000751067
113,219.541,0.42708,0.33022,0.40828,0.86435,0.98531,0.94485,0.97,0.87431,0.98531,0.94485,0.97,0.71587,0.45857,1.12837,0.43688,0.84139,0.000742815,0.000742815,0.000742815
114,221.461,0.41786,0.31024,0.42623,0.86717,0.99127,0.92385,0.96944,0.86801,0.99127,0.92385,0.96944,0.71317,0.44831,1.15392,0.44543,0.83502,0.000734564,0.000734564,0.000734564
115,223.358,0.39096,0.28833,0.41005,0.84374,0.96882,0.93077,0.96841,0.86596,0.96882,0.93077,0.96841,0.6995,0.46024,1.1986,0.47934,0.84167,0.000726312,0.000726312,0.000726312
116,225.261,0.37812,0.29428,0.36508,0.85137,0.95952,0.95585,0.97964,0.86307,0.95952,0.95585,0.98316,0.70603,0.4796,1.15684,0.48189,0.85188,0.00071806,0.00071806,0.00071806
117,227.151,0.37881,0.33104,0.39849,0.84517,0.9889,0.90385,0.97557,0.8666,0.9889,0.90385,0.98217,0.72282,0.47375,1.08697,0.512,0.8497,0.000709809,0.000709809,0.000709809
118,229.018,0.39965,0.30327,0.397,0.85135,0.93633,0.85551,0.96372,0.86477,0.93633,0.85551,0.97023,0.7185,0.45062,1.03913,0.57359,0.84175,0.000701557,0.000701557,0.000701557
119,230.904,0.40158,0.30348,0.39695,0.87638,0.95341,0.83959,0.98015,0.88405,0.95341,0.83959,0.98444,0.73044,0.44429,1.02642,0.54492,0.84118,0.000693305,0.000693305,0.000693305
120,232.835,0.39412,0.33719,0.36734,0.8537,0.92867,0.94547,0.98579,0.89669,0.92477,0.98077,0.98813,0.72591,0.47011,1.0091,0.48218,0.85408,0.000685054,0.000685054,0.000685054
121,234.771,0.39297,0.30975,0.40187,0.86379,0.90033,0.96154,0.98177,0.88044,0.91944,0.98077,0.98583,0.72582,0.47842,1.0183,0.49143,0.85865,0.000676802,0.000676802,0.000676802
122,236.649,0.42749,0.39116,0.40824,0.86657,0.96604,0.90654,0.98143,0.88821,0.92185,0.98077,0.98615,0.73069,0.48224,1.06418,0.45259,0.8602,0.00066855,0.00066855,0.00066855
123,238.594,0.4096,0.2978,0.36928,0.86195,0.97917,0.96019,0.98597,0.89456,0.97201,0.96364,0.99104,0.73599,0.47144,1.07569,0.4356,0.86115,0.000660299,0.000660299,0.000660299
124,240.512,0.46209,0.43292,0.41447,0.90133,0.974,0.97737,0.98753,0.89386,0.974,0.97737,0.989,0.7084,0.47238,1.12353,0.4387,0.87197,0.000652047,0.000652047,0.000652047
125,242.431,0.44699,0.29603,0.41067,0.89069,0.96144,0.97798,0.98898,0.891,0.90518,0.92906,0.93704,0.70776,0.46155,1.17728,0.45654,0.86086,0.000643795,0.000643795,0.000643795
126,244.311,0.37965,0.30097,0.37501,0.85712,0.96904,0.97599,0.98874,0.89218,0.91076,0.92755,0.93704,0.70891,0.46051,1.22631,0.45888,0.8598,0.000635544,0.000635544,0.000635544
127,246.198,0.37602,0.28276,0.35682,0.85684,0.97217,0.97858,0.98753,0.88295,0.92258,0.92909,0.93146,0.69908,0.46462,1.23698,0.44683,0.85987,0.000627292,0.000627292,0.000627292
